ID,Chimera,DayPostInfection,Dose,RT-PCR, TiterFFU50,TiterFFUMos
1,Chimeric 1,3,1300000,1,300,1800
2,Chimeric 1,3,1300000,1,10000,60000
3,Chimeric 1,3,1300000,0,0,0
4,Chimeric 1,3,1300000,1,100,600
5,Chimeric 1,3,1300000,1,100,600
6,Chimeric 1,3,1300000,1,10,60
7,Chimeric 1,3,1300000,1,1000,6000
8,Chimeric 1,3,1300000,1,10000,60000
9,Chimeric 1,3,1300000,1,200,1200
10,Chimeric 1,3,1300000,1,40,240
11,Chimeric 1,3,1300000,1,100,600
12,Chimeric 1,3,1300000,1,200,1200
13,Chimeric 1,3,1300000,1,100,600
14,Chimeric 1,3,1300000,1,0,0
15,Chimeric 1,3,1300000,1,2000,12000
16,Chimeric 1,3,1300000,1,2000,12000
17,Chimeric 1,3,1300000,1,200,1200
18,Chimeric 1,3,1300000,1,0,0
19,Chimeric 1,3,1300000,1,20000,120000
20,Chimeric 1,3,1300000,1,2000,12000
21,Chimeric 1,3,1300000,1,10000,60000
22,Chimeric 2,3,700000,1,0,0
23,Chimeric 2,3,700000,1,0,0
24,Chimeric 2,3,700000,0,0,0
25,Chimeric 2,3,700000,1,0,0
26,Chimeric 2,3,700000,1,0,0
27,Chimeric 2,3,700000,1,0,0
28,Chimeric 2,3,700000,1,0,0
29,Chimeric 2,3,700000,1,0,0
30,Chimeric 2,3,700000,1,0,0
31,Chimeric 2,3,700000,1,0,0
32,Chimeric 2,3,700000,1,300,1800
33,Chimeric 2,3,700000,0,0,0
34,Chimeric 2,3,700000,1,0,0
35,Chimeric 2,3,700000,0,0,0
36,Chimeric 2,3,700000,1,0,0
37,Chimeric 2,3,700000,0,0,0
38,Chimeric 2,3,700000,1,100,600
39,Chimeric 2,3,700000,0,0,0
40,Chimeric 2,3,700000,1,0,0
41,Chimeric 2,3,700000,1,0,0
42,Chimeric 2,3,700000,1,0,0
43,Chimeric 2,3,700000,1,0,0
44,Chimeric 2,3,700000,1,0,0
45,Chimeric 2,3,700000,0,0,0
46,Chimeric 2,3,700000,1,0,0
47,Chimeric 2,3,700000,1,0,0
48,Chimeric 2,3,700000,0,0,0
49,Chimeric 3,3,1000000,1,0,0
50,Chimeric 3,3,1000000,1,0,0
51,Chimeric 3,3,1000000,0,0,0
52,Chimeric 3,3,1000000,1,0,0
53,Chimeric 3,3,1000000,1,0,0
54,Chimeric 3,3,1000000,0,0,0
55,Chimeric 3,3,1000000,1,0,0
56,Chimeric 3,3,1000000,1,200,1200
57,Chimeric 3,3,1000000,1,0,0
58,Chimeric 3,3,1000000,1,0,0
59,Chimeric 3,3,1000000,1,0,0
60,Chimeric 3,3,1000000,1,0,0
61,Chimeric 3,3,1000000,1,100,600
62,Chimeric 3,3,1000000,1,0,0
63,Chimeric 3,3,1000000,1,200,1200
64,Chimeric 3,3,1000000,1,0,0
65,Chimeric 3,3,1000000,1,100,600
66,Chimeric 3,3,1000000,1,0,0
67,Chimeric 3,3,1000000,1,200,1200
68,Chimeric 3,3,1000000,1,100,600
69,Chimeric 3,3,1000000,1,0,0
70,Chimeric 3,3,1000000,1,20,120
71,Chimeric 3,3,1000000,1,0,0
