Chimera,Replicate,time,Titer
Chimera 1,1,24,1250
Chimera 1,2,24,1150
Chimera 1,3,24,1400
Chimera 2,1,24,70
Chimera 2,2,24,70
Chimera 2,3,24,50
Chimera 3,1,24,1300
Chimera 3,2,24,1650
Chimera 3,3,24,2100
Chimera 4,1,24,70
Chimera 4,2,24,90
Chimera 4,3,24,110
Chimera 5,1,24,160
Chimera 5,2,24,90
Chimera 5,3,24,130
Chimera 6,1,24,1550
Chimera 6,2,24,1150
Chimera 6,3,24,1400
Chimera 7,1,24,2300
Chimera 7,2,24,2500
Chimera 7,3,24,2800
Chimera 8,1,24,30
Chimera 8,2,24,40
Chimera 8,3,24,30
Chimera 1,1,48,285000
Chimera 1,2,48,250000
Chimera 1,3,48,420000
Chimera 2,1,48,9000
Chimera 2,2,48,10000
Chimera 2,3,48,10000
Chimera 3,1,48,185000
Chimera 3,2,48,75000
Chimera 3,3,48,150000
Chimera 4,1,48,18000
Chimera 4,2,48,13500
Chimera 4,3,48,25500
Chimera 5,1,48,27000
Chimera 5,2,48,19000
Chimera 5,3,48,20000
Chimera 6,1,48,75000
Chimera 6,2,48,22000
Chimera 6,3,48,50000
Chimera 7,1,48,400000
Chimera 7,2,48,335000
Chimera 7,3,48,350000
Chimera 8,1,48,10000
Chimera 8,2,48,4500
Chimera 8,3,48,6000
Chimera 1,1,72,9000000
Chimera 1,2,72,9000000
Chimera 1,3,72,16000000
Chimera 2,1,72,80000
Chimera 2,2,72,55000
Chimera 2,3,72,70000
Chimera 3,1,72,1900000
Chimera 3,2,72,1900000
Chimera 3,3,72,3100000
Chimera 4,1,72,225000
Chimera 4,2,72,180000
Chimera 4,3,72,300000
Chimera 5,1,72,275000
Chimera 5,2,72,100000
Chimera 5,3,72,200000
Chimera 6,1,72,1200000
Chimera 6,2,72,450000
Chimera 6,3,72,550000
Chimera 7,1,72,9500000
Chimera 7,2,72,8500000
Chimera 7,3,72,25000000
Chimera 8,1,72,40000
Chimera 8,2,72,25000
Chimera 8,3,72,35000
Chimera 1,1,96,180000000
Chimera 1,2,96,85000000
Chimera 1,3,96,250000000
Chimera 2,1,96,4000000
Chimera 2,2,96,3000000
Chimera 2,3,96,8500000
Chimera 3,1,96,12000000
Chimera 3,2,96,9000000
Chimera 3,3,96,5700000
Chimera 4,1,96,7000000
Chimera 4,2,96,6300000
Chimera 4,3,96,23000000
Chimera 5,1,96,23000000
Chimera 5,2,96,2000000
Chimera 5,3,96,2250000
Chimera 6,1,96,2000000
Chimera 6,2,96,5000000
Chimera 6,3,96,2500000
Chimera 7,1,96,100000000
Chimera 7,2,96,115000000
Chimera 7,3,96,90000000
Chimera 8,1,96,1800000
Chimera 8,2,96,1500000
Chimera 8,3,96,3500000
