Chimera,Replicate,time,Titer
Chimera 1,1,24,450
Chimera 1,2,24,700
Chimera 1,3,24,450
Chimera 9,1,24,1050
Chimera 9,2,24,550
Chimera 9,3,24,600
Chimera 10,1,24,150
Chimera 10,2,24,150
Chimera 10,3,24,100
Chimera 11,1,24,200
Chimera 11,2,24,180
Chimera 11,3,24,100
Chimera 12,1,24,500
Chimera 12,2,24,700
Chimera 12,3,24,100
Chimera 13,1,24,100
Chimera 13,2,24,100
Chimera 13,3,24,200
Chimera 14,1,24,450
Chimera 14,2,24,300
Chimera 14,3,24,150
Chimera 15,1,24,550
Chimera 15,2,24,500
Chimera 15,3,24,400
Chimera 16,1,24,200
Chimera 16,2,24,50
Chimera 16,3,24,100
Chimera 1,1,48,155000
Chimera 1,2,48,120000
Chimera 1,3,48,85000
Chimera 9,1,48,200000
Chimera 9,2,48,135000
Chimera 9,3,48,155000
Chimera 10,1,48,10500
Chimera 10,2,48,14500
Chimera 10,3,48,8500
Chimera 11,1,48,6500
Chimera 11,2,48,13500
Chimera 11,3,48,9000
Chimera 12,1,48,125000
Chimera 12,2,48,60000
Chimera 12,3,48,125000
Chimera 13,1,48,55000
Chimera 13,2,48,70000
Chimera 13,3,48,40000
Chimera 14,1,48,35000
Chimera 14,2,48,30000
Chimera 14,3,48,20000
Chimera 15,1,48,23500
Chimera 15,2,48,28000
Chimera 15,3,48,33000
Chimera 16,1,48,14500
Chimera 16,2,48,10000
Chimera 16,3,48,10000
Chimera 1,1,72,135000
Chimera 1,2,72,150000
Chimera 1,3,72,350000
Chimera 9,1,72,350000
Chimera 9,2,72,250000
Chimera 9,3,72,450000
Chimera 10,1,72,80000
Chimera 10,2,72,55000
Chimera 10,3,72,50000
Chimera 11,1,72,20000
Chimera 11,2,72,40000
Chimera 11,3,72,50000
Chimera 12,1,72,350000
Chimera 12,2,72,220000
Chimera 12,3,72,300000
Chimera 13,1,72,350000
Chimera 13,2,72,350000
Chimera 13,3,72,250000
Chimera 14,1,72,180000
Chimera 14,2,72,100000
Chimera 14,3,72,115000
Chimera 15,1,72,55500
Chimera 15,2,72,50000
Chimera 15,3,72,41500
Chimera 16,1,72,32000
Chimera 16,2,72,60000
Chimera 16,3,72,50000
Chimera 1,1,96,850000
Chimera 1,2,96,600000
Chimera 1,3,96,950000
Chimera 9,1,96,1850000
Chimera 9,2,96,450000
Chimera 9,3,96,600000
Chimera 10,1,96,155000
Chimera 10,2,96,150000
Chimera 10,3,96,335000
Chimera 11,1,96,80000
Chimera 11,2,96,65000
Chimera 11,3,96,100000
Chimera 12,1,96,1300000
Chimera 12,2,96,1050000
Chimera 12,3,96,1200000
Chimera 13,1,96,650000
Chimera 13,2,96,950000
Chimera 13,3,96,1150000
Chimera 14,1,96,300000
Chimera 14,2,96,300000
Chimera 14,3,96,250000
Chimera 15,1,96,700000
Chimera 15,2,96,650000
Chimera 15,3,96,1000000
Chimera 16,1,96,250000
Chimera 16,2,96,400000
Chimera 16,3,96,200000
